max_f,theta_idx,theta,eps_target,eps_pre,success,achieved_frob,f_level,N_D,method,wall,timed_out
0,28,0.44767695313654554,0.5,0.25,True,0.17698255495814408,0,1,zeta9-householder,1.9475889205932617,False
0,29,0.46338491640449453,0.5,0.25,True,0.16589577710493564,0,1,zeta9-householder,1.989600419998169,False
0,30,0.4790928796724435,0.5,0.25,True,0.15480644093362136,0,1,zeta9-householder,1.585740089416504,False
0,31,0.49480084294039245,0.5,0.25,True,0.14371471745548325,0,1,zeta9-householder,1.979926347732544,False
0,32,0.5105088062083414,0.5,0.25,True,0.13262077771861847,0,1,zeta9-householder,2.03479266166687,False
0,33,0.5262167694762904,0.5,0.25,True,0.12152479280530148,0,1,zeta9-householder,1.9844214916229248,False
0,34,0.5419247327442394,0.5,0.25,True,0.11042693382934617,0,1,zeta9-householder,1.9806852340698242,False
0,35,0.5576326960121883,0.5,0.25,True,0.09932737193346657,0,1,zeta9-householder,1.996779203414917,False
0,36,0.5733406592801373,0.5,0.25,True,0.08822627828663802,0,1,zeta9-householder,1.9807796478271484,False
0,37,0.5890486225480862,0.5,0.25,True,0.07712382408145725,0,1,zeta9-householder,1.9839532375335693,False
0,38,0.6047565858160352,0.5,0.25,True,0.06602018053150234,0,1,zeta9-householder,1.9844870567321777,False
0,39,0.6204645490839842,0.5,0.25,True,0.05491551886869276,0,1,zeta9-householder,2.0828304290771484,False
0,40,0.6361725123519332,0.5,0.25,True,0.04381001034064857,0,1,zeta9-householder,1.9821867942810059,False
0,41,0.6518804756198822,0.5,0.25,True,0.03270382620804931,0,1,zeta9-householder,2.027484178543091,False
0,42,0.6675884388878311,0.5,0.25,True,0.02159713774199344,0,1,zeta9-householder,1.9953055381774902,False
0,43,0.68329640215578,0.5,0.25,True,0.010490116221356656,0,1,zeta9-householder,1.9847567081451416,False
0,44,0.699004365423729,0.5,0.25,True,0.0006170670698491665,0,1,zeta9-householder,1.9408392906188965,False
0,45,0.714712328691678,0.5,0.25,True,0.011724240845117539,0,1,zeta9-householder,1.993095874786377,False
0,46,0.730420291959627,0.5,0.25,True,0.022831233818088322,0,1,zeta9-householder,1.9306013584136963,False
0,47,0.746128255227576,0.5,0.25,True,0.03393787470519019,0,1,zeta9-householder,1.9796979427337646,False
0,48,0.7618362184955249,0.5,0.25,True,0.04504399222828081,0,1,zeta9-householder,1.9857168197631836,False
0,49,0.7775441817634738,0.5,0.25,True,0.05614941511728937,0,1,zeta9-householder,1.6788239479064941,False
0,50,0.7932521450314228,0.5,0.25,True,0.0672539721128566,0,1,zeta9-householder,1.9817609786987305,False
0,51,0.8089601082993718,0.5,0.25,True,0.0783574919689768,0,1,zeta9-householder,1.9837846755981445,False
0,52,0.8246680715673208,0.5,0.25,True,0.08945980345563803,0,1,zeta9-householder,1.9533276557922363,False
0,53,0.8403760348352697,0.5,0.25,True,0.10056073536146273,0,1,zeta9-householder,1.9358806610107422,False
0,54,0.8560839981032187,0.5,0.25,True,0.11166011649634879,0,1,zeta9-householder,1.9828176498413086,False
0,55,0.8717919613711677,0.5,0.25,True,0.12275777569410835,0,1,zeta9-householder,1.9824552536010742,False
0,56,0.8874999246391166,0.5,0.25,True,0.13385354181510814,0,1,zeta9-householder,1.9860937595367432,False
0,57,0.9032078879070656,0.5,0.25,True,0.14494724374890844,0,1,zeta9-householder,1.9806716442108154,False
0,58,0.9189158511750146,0.5,0.25,True,0.15603871041690173,0,1,zeta9-householder,1.8872897624969482,False
0,59,0.9346238144429635,0.5,0.25,True,0.16712777077495147,0,1,zeta9-householder,1.8795087337493896,False
0,60,0.9503317777109125,0.5,0.25,True,0.1782142538160289,0,1,zeta9-householder,1.9828705787658691,False
0,61,0.9660397409788615,0.5,0.25,True,0.1892979885728511,0,1,zeta9-householder,1.9846692085266113,False
