# angle target_eps D_gates eps_diff_val result
-1.2237064803 0.1 4 0.029462 Success
-1.2238286245 0.001 8 0.000349184 Success
-1.2364152337 1 0 0.860422 Success
-1.2456849088 0.01 8 0.000540401 Success
-1.2494845459 0.01 8 0.000440015 Success
-1.2671566321 0.1 1 0.0912764 Success
-1.2724421705 0.1 1 0.0875408 Success
-1.2809838427 0.01 8 0.000107842 Success
-1.2998471407 1 0 0.903039 Success
-1.3054192721 0.01 8 0.000625287 Success
# error - missing: D_gates, eps_diff_val, result | angle=-1.3084118846 target_eps=0.0001 D_gates=None eps_diff_val=None result=None
-1.3087882130 0.0001 12 4.35896e-05 Success
-1.3182175889 0.01 8 0.000772255 Success
-1.3346525395 0.001 8 0.000535716 Success
-1.3356569096 0.1 1 0.0428536 Success
-1.3493438409 0.01 8 0.0011319 Success
-1.3552411417 0.0001 12 2.89298e-05 Success
-1.3576467012 0.001 8 0.000287004 Success
-1.3603048717 0.1 1 0.0254262 Success
-1.3621776072 0.1 1 0.024102 Success
-1.3637884775 0.001 8 0.000354663 Success
# error - missing: D_gates, eps_diff_val, result | angle=-1.3670561325 target_eps=0.0001 D_gates=None eps_diff_val=None result=None
-1.3758340558 0.01 8 0.000461186 Success
-1.3762771254 0.0001 12 4.30046e-05 Success
-1.3862635769 0.001 8 0.000595678 Success
-1.3876995502 0.1 1 0.00605555 Success
-1.4171879484 0.1 1 0.0147958 Success
-1.4191318659 0.1 1 0.0161704 Success
-1.4251680392 0.1 1 0.0204385 Success
-1.4260942507 0.001 8 0.000785613 Success
-1.4288388035 0.0001 12 3.37845e-05 Success
-1.4381073148 0.1 1 0.0295876 Success
-1.4405977610 1 0 0.996778 Success
-1.4622629648 0.0001 12 1.74235e-05 Success
-1.4664487655 0.0001 11 3.13492e-05 Success
-1.4839270392 0.0001 12 3.81234e-05 Success
-1.4947029662 0.1 1 0.0696003 Success
-1.5245433724 0.0001 12 5.90487e-05 Success
-1.5387996517 1 1 0.100767 Success
-1.5403685114 0.0001 12 2.5105e-05 Success
-1.5470766798 0.0001 12 1.91022e-05 Success
-1.5473965674 1 1 0.106842 Success
-1.5501850860 0.01 8 0.00127482 Success
-1.5504752309 0.001 12 4.38563e-05 Success
-1.5523000749 0.0001 12 5.30862e-05 Success
-1.5537895135 0.0001 12 4.72744e-05 Success
-1.5542433231 0.001 8 0.000596937 Success
-1.5630335312 0.01 8 0.000951361 Success
-1.5638260751 1 1 0.11845 Success
# error - missing: D_gates, eps_diff_val, result | angle=-1.5661920935 target_eps=0.0001 D_gates=None eps_diff_val=None result=None
-1.5669126655 0.1 4 0.0297851 Success
0.0021125645 0.001 8 0.000534587 Success
0.0141435063 0.1 0 0.0100009 Success
0.0266711058 0.0001 12 4.50772e-05 Success
0.0372423325 0.01 7 0.000897894 Success
0.0405378071 0.001 12 3.52285e-05 Success
0.0469047433 0.001 11 1.85187e-05 Success
0.0761304642 0.001 8 0.00065778 Success
0.0881123163 0.001 12 2.81425e-05 Success
0.0881632770 1 0 0.0623358 Success
0.0932947665 0.001 8 0.000774955 Success
0.1042294428 0.0001 12 4.12146e-05 Success
0.1133294537 0.01 8 0.00146457 Success
0.1149489457 1 0 0.08127 Success
0.1174110544 0.01 8 0.0002101 Success
0.1174594872 0.001 8 0.000189412 Success
0.1200039319 0.0001 12 4.77088e-05 Success
0.1293834736 0.1 0 0.091472 Success
0.1323566008 1 0 0.0935732 Success
0.1428231813 0.1 4 0.0155657 Success
0.1428775543 1 0 0.101008 Success
0.1472111404 0.0001 12 7.92535e-06 Success
0.1529224136 0.01 8 0.00134715 Success
0.1585878842 1 0 0.112109 Success
0.1635848598 0.1 4 0.017247 Success
0.1693715859 1 0 0.119728 Success
0.1698712902 0.1 4 0.0199576 Success
0.1710120005 0.1 4 0.0205133 Success
0.1755523723 0.01 8 0.000534793 Success
0.1778320032 0.0001 12 5.05121e-05 Success
0.1850694239 0.1 4 0.0283491 Success
0.2143000252 0.01 8 0.000389337 Success
0.2209249690 0.1 4 0.0205143 Success
0.2234408523 0.1 4 0.0199334 Success
0.2377789943 0.0001 12 4.33322e-05 Success
0.2455524217 0.01 8 0.000321322 Success
0.2490740283 0.001 8 0.00094148 Success
0.2513910843 1 0 0.177643 Success
0.2540247632 1 0 0.179502 Success
0.2569153365 0.1 4 0.0260571 Success
0.2579318320 0.1 4 0.0265484 Success
0.2584044137 0.001 12 4.79308e-05 Success
0.2592416476 0.01 7 0.00062009 Success
0.2691175260 1 0 0.190151 Success
0.2729664941 0.1 4 0.0271382 Success
0.2818380097 0.1 4 0.0238227 Success
0.2834396125 1 0 0.200254 Success
0.2918041977 0.001 12 3.77926e-05 Success
0.2940212851 0.1 4 0.0212279 Success
0.2954917848 1 0 0.208754 Success
0.3061688975 0.1 4 0.0219161 Success
0.3070237617 0.1 4 0.0219389 Success
0.3117852741 0.01 8 0.00102232 Success
0.3147364524 1 0 0.222323 Success
0.3150183018 0.1 4 0.0183627 Success
0.3163323453 0.01 8 0.000713986 Success
0.3179973787 1 0 0.224621 Success
0.3224281750 0.001 8 0.000881005 Success
0.3319183184 0.0001 11 2.358e-05 Success
0.3334663681 1 0 0.235523 Success
0.3345457156 0.01 8 0.000883799 Success
0.3478418438 0.1 4 0.00835421 Success
0.3505889648 1 0 0.247587 Success
0.3609399865 0.01 8 0.000799299 Success
0.3692202615 0.001 8 0.000750052 Success
0.3697633881 0.001 8 0.000714172 Success
0.3716803009 0.01 8 0.000800438 Success
0.3743404090 0.01 7 0.00160537 Success
0.3929020759 1 0 0.277377 Success
0.3945281964 0.01 8 0.000636619 Success
0.3947307477 0.01 8 0.000737583 Success
0.3964282812 0.01 7 0.00102554 Success
0.4196550440 0.001 8 0.000759193 Success
0.4216571557 0.01 8 0.000578073 Success
0.4469580444 0.001 8 0.000503602 Success
0.4497928995 0.001 8 0.000603959 Success
0.4610023147 0.1 4 0.0194658 Success
0.4636573911 1 0 0.327122 Success
0.4653929115 0.0001 12 3.00464e-05 Success
0.4694076386 1 0 0.33116 Success
0.4711478447 0.0001 12 2.29751e-05 Success
0.4712330005 0.01 8 0.0011959 Success
0.4713187084 1 0 0.332502 Success
0.4854470775 0.01 8 0.00106471 Success
0.4997536542 1 0 0.352461 Success
0.5019758158 1 0 0.35402 Success
0.5084653730 0.1 4 0.0317518 Success
0.5133329586 0.001 8 0.000899088 Success
0.5221815167 0.1 3 0.0297374 Success
0.5397418857 0.01 8 0.000628366 Success
0.5424153773 1 0 0.382371 Success
0.5460743051 0.01 8 0.000793318 Success
0.5488362410 0.1 4 0.0219608 Success
0.5546888803 0.01 8 0.00039635 Success
0.5552949095 0.1 4 0.0202717 Success
0.5692589022 1 0 0.401169 Success
0.5745694118 0.01 8 0.000514308 Success
0.5771987335 0.001 6 0.000131904 Success
0.5804874472 0.1 1 0.0831751 Success
0.5858255161 1 0 0.412762 Success
0.5871530382 0.001 8 0.000595383 Success
0.5872090752 1 0 0.41373 Success
0.5893386824 0.1 2 0.0769188 Success
0.5953723249 0.0001 12 1.60898e-05 Success
0.6154484310 0.001 11 4.50012e-05 Success
0.6273454792 0.0001 12 3.91461e-05 Success
0.6324195966 0.001 8 0.000835761 Success
0.6363469311 0.001 8 0.000486057 Success
0.6419684682 0.001 8 0.000655012 Success
0.6461678798 0.001 8 0.000822395 Success
0.6625377305 0.01 8 0.00070811 Success
0.6666877431 1 0 0.46924 Success
0.6732701423 0.001 12 2.36234e-05 Success
0.6889575263 0.0001 7 8.83672e-05 Success
0.6902530917 0.01 2 0.00557101 Success
0.6933593115 0.001 8 0.000616721 Success
0.6949608067 1 0 0.488943 Success
0.7029257205 0.1 2 0.00338988 Success
0.7113597051 0.1 2 0.00935359 Success
0.7158316519 0.0001 12 3.70356e-05 Success
0.7171021772 1 0 0.504356 Success
0.7343343559 0.001 8 0.000832605 Success
0.7366246200 0.001 8 0.000327692 Success
0.7415395471 1 0 0.521349 Success
0.7481266700 0.01 7 0.000520561 Success
0.7526027437 0.001 12 3.56003e-05 Success
0.7557118286 1 0 0.531196 Success
0.7770682594 1 0 0.546021 Success
0.7834819819 0.0001 12 3.06428e-05 Success
0.7942354312 1 0 0.557926 Success
